iter	RMSE
160	5.208890547
161	5.204306099
162	5.200132741
163	5.196433215
164	5.192862732
165	5.188838096
166	5.185462872
167	5.180733319
168	5.176439048
169	5.173111059
170	5.167698226
171	5.164227063
172	5.16049938
173	5.156518941
174	5.151592859
175	5.147356197
176	5.144036993
177	5.140537559
178	5.137129756
179	5.134249961
180	5.129921865
181	5.126741827
182	5.12167983
183	5.117220882
184	5.114605337
185	5.111351526
186	5.108572296
187	5.104095207
188	5.100936865
189	5.098226923
190	5.092646271
191	5.089779114
192	5.086596807
193	5.082721419
194	5.078595077
195	5.075236632
196	5.071454311
197	5.069554751
198	5.067443363
199	5.064288759
200	5.062343985
201	5.060285939
202	5.057496564
203	5.055338047
204	5.052888072
205	5.049966782
206	5.046426361
207	5.044839317
208	5.041225748
209	5.03847376
210	5.036465417
211	5.033588513
212	5.030862486
213	5.026347637
214	5.023519236
215	5.021495903
216	5.017220255
217	5.01518832
218	5.012164136
219	5.00935311
220	5.00559205
221	5.002781285
222	5.001172478
223	4.998601352
224	4.995447417
225	4.993707487
226	4.988725507
227	4.985763657
228	4.983455676
229	4.981003865
230	4.978471026
231	4.976180309
232	4.972866757
233	4.970087416
234	4.966572232
235	4.964255984
236	4.962366265
237	4.960406197
238	4.955871726
239	4.954432963
240	4.952827136
241	4.950963115
242	4.949123114
243	4.946560835
244	4.945290511
245	4.942125355
246	4.937942809
247	4.93569555
248	4.931913351
249	4.928816694
250	4.92655194
251	4.924032234
252	4.921779755
253	4.919289362
254	4.917310756
255	4.914813522
256	4.91314017
257	4.911638872
258	4.907642159
259	4.906074375
260	4.904415167
261	4.901842672
262	4.900618917
263	4.897034859
264	4.895085547
265	4.892233421
266	4.890193405
267	4.888127575
268	4.886329102
269	4.88478242
270	4.882494502
271	4.879613195
272	4.878309225
273	4.876058339
274	4.873350374
275	4.871065851
276	4.868427875
277	4.866392277
278	4.864114695
279	4.862773271
280	4.859494096
281	4.858083329
282	4.855461304
283	4.853491892
284	4.851726352
285	4.849819054
286	4.847721546
287	4.845920978
288	4.844996593
289	4.842718065
290	4.841129847
291	4.839661173
292	4.837191319
293	4.836146006
294	4.832608832
295	4.831080521
296	4.827894032
297	4.826040719
298	4.82390328
299	4.822347175
300	4.81956465
301	4.816603251
302	4.814237826
303	4.811702996
304	4.808796852
305	4.806523355
306	4.804251003
307	4.802854631
308	4.79975212
309	4.798318963
310	4.796827817
311	4.79480827
312	4.792771818
313	4.790552189
314	4.789002025
315	4.787846782
316	4.784198574
317	4.782126751
318	4.78145791
319	4.778892747
320	4.776424501
321	4.774778305
322	4.773136968
323	4.772073193
324	4.76931892
325	4.765818727
326	4.762748204
327	4.760784359
328	4.758775831
329	4.757464602
330	4.755134446
331	4.752719558
332	4.751795374
333	4.74970101
334	4.747678186
335	4.744561267
336	4.743078004
337	4.740028112
338	4.736311047
339	4.732633339
340	4.731684145
341	4.729605083
342	4.726949718
343	4.725730973
344	4.723926342
345	4.721144466
346	4.719416422
347	4.718385919
348	4.716683779
349	4.715619958
350	4.713909658
351	4.712965571
352	4.711276285
353	4.709630631
354	4.708212975
355	4.706700423
356	4.703184574
357	4.700926162
358	4.69953673
359	4.697810919
360	4.696733877
361	4.695882456
362	4.69448405
363	4.692717893
364	4.689966639
365	4.688202897
366	4.687341379
367	4.684520817
368	4.684165002
369	4.681190983
370	4.679657198
371	4.676949677
372	4.675208666
373	4.67457734
374	4.672951234
375	4.67214818
376	4.67102881
377	4.669372625
378	4.66746086
379	4.666732457
380	4.665063982
381	4.664083977
382	4.662656852
383	4.660608117
384	4.659633585
385	4.658199531
386	4.654951671
387	4.652876697
388	4.651347046
389	4.649473231
390	4.648873336
391	4.64767712
392	4.645453715
393	4.644061181
394	4.643122839
395	4.64095423
396	4.639808888
397	4.63860441
398	4.636548842
399	4.63529011
400	4.634326392
401	4.632524746
402	4.630995057
403	4.629247188
404	4.628936827
405	4.625714881
406	4.6229379
407	4.619819926
408	4.618740549
409	4.61758738
410	4.616571593
411	4.615053238
412	4.614562192
413	4.613870534
414	4.612645192
415	4.609349155
416	4.608154859
417	4.606555971
418	4.605895129
419	4.60488436
420	4.603193505
421	4.601387642
422	4.599675249
423	4.597986893
424	4.597310615
425	4.59593336
426	4.594534298
427	4.592645201
428	4.59045898
429	4.588812069
430	4.587529808
431	4.58641246
432	4.585206973
433	4.583957628
434	4.582303681
435	4.579727634
436	4.577978298
437	4.576578362
438	4.574425022
439	4.571543006
440	4.569593001
441	4.568184042
442	4.567635226
443	4.564936778
444	4.562292557
445	4.56081344
446	4.55962058
447	4.557576174
448	4.554611161
449	4.552452733
450	4.551600031
451	4.550405063
452	4.549410718
453	4.547409833
454	4.545436097
455	4.54337422
456	4.541804973
457	4.541206364
458	4.539826998
459	4.538628446
460	4.537466342
461	4.536895354
462	4.534520102
463	4.533967043
464	4.531597228
465	4.53052893
466	4.529029116
467	4.528569748
468	4.527174003
469	4.526308186
470	4.525078554
471	4.523174672
472	4.522845564
473	4.522070313
474	4.519963165
